treatment,wp,n_circles,seed,strategy,init,selection_scheme,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,7,0,SINGLE_VARIANCE,lhs,comma,0.52346189,0.02320682,100200,477,,,
baseline,WP1,7,1,SINGLE_VARIANCE,lhs,comma,0.52127181,0.02729355,100200,477,,,
baseline,WP1,7,2,SINGLE_VARIANCE,lhs,comma,0.50248114,0.06235742,100200,477,,,
baseline,WP1,7,3,SINGLE_VARIANCE,lhs,comma,0.51468215,0.03959004,100200,477,,,
baseline,WP1,7,4,SINGLE_VARIANCE,lhs,comma,0.51915596,0.03124178,100200,477,,,
baseline,WP1,7,5,SINGLE_VARIANCE,lhs,comma,0.50698872,0.05394616,100200,477,,,
baseline,WP1,7,6,SINGLE_VARIANCE,lhs,comma,0.5172864,0.03473044,100200,477,,,
baseline,WP1,7,7,SINGLE_VARIANCE,lhs,comma,0.50380164,0.05989335,100200,477,,,
baseline,WP1,7,8,SINGLE_VARIANCE,lhs,comma,0.49045181,0.08480446,100200,477,,,
baseline,WP1,7,9,SINGLE_VARIANCE,lhs,comma,0.52402095,0.0221636,100200,477,,,
baseline,WP1,7,10,SINGLE_VARIANCE,lhs,comma,0.51180242,0.04496369,100200,477,,,
baseline,WP1,7,11,SINGLE_VARIANCE,lhs,comma,0.50043833,0.06616937,100200,477,,,
baseline,WP1,7,12,SINGLE_VARIANCE,lhs,comma,0.50639543,0.05505326,100200,477,,,
baseline,WP1,7,13,SINGLE_VARIANCE,lhs,comma,0.50790963,0.05222772,100200,477,,,
baseline,WP1,7,14,SINGLE_VARIANCE,lhs,comma,0.50833338,0.051437,100200,477,,,
baseline,WP1,7,15,SINGLE_VARIANCE,lhs,comma,0.50296748,0.0614499,100200,477,,,
baseline,WP1,7,16,SINGLE_VARIANCE,lhs,comma,0.50110747,0.06492072,100200,477,,,
baseline,WP1,7,17,SINGLE_VARIANCE,lhs,comma,0.52070558,0.02835016,100200,477,,,
baseline,WP1,7,18,SINGLE_VARIANCE,lhs,comma,0.52112662,0.02756448,100200,477,,,
baseline,WP1,7,19,SINGLE_VARIANCE,lhs,comma,0.50311767,0.06116965,100200,477,,,
baseline,WP1,7,20,SINGLE_VARIANCE,lhs,comma,0.5097985,0.04870305,100200,477,,,
baseline,WP1,7,21,SINGLE_VARIANCE,lhs,comma,0.50723671,0.05348341,100200,477,,,
baseline,WP1,7,22,SINGLE_VARIANCE,lhs,comma,0.51487983,0.03922115,100200,477,,,
baseline,WP1,7,23,SINGLE_VARIANCE,lhs,comma,0.50765901,0.0526954,100200,477,,,
baseline,WP1,7,24,SINGLE_VARIANCE,lhs,comma,0.49623347,0.07401575,100200,477,,,
baseline,WP1,10,0,SINGLE_VARIANCE,lhs,comma,0.19307309,0.54169841,100200,477,,,
baseline,WP1,10,1,SINGLE_VARIANCE,lhs,comma,0.34636016,0.17783769,100200,477,,,
baseline,WP1,10,2,SINGLE_VARIANCE,lhs,comma,0.37669875,0.10582236,100200,477,,,
baseline,WP1,10,3,SINGLE_VARIANCE,lhs,comma,0.38682456,0.08178651,100200,477,,,
baseline,WP1,10,4,SINGLE_VARIANCE,lhs,comma,0.35976971,0.14600717,100200,477,,,
baseline,WP1,10,5,SINGLE_VARIANCE,lhs,comma,0.34385817,0.18377673,100200,477,,,
baseline,WP1,10,6,SINGLE_VARIANCE,lhs,comma,0.35379266,0.16019503,100200,477,,,
baseline,WP1,10,7,SINGLE_VARIANCE,lhs,comma,0.37071109,0.12003539,100200,477,,,
baseline,WP1,10,8,SINGLE_VARIANCE,lhs,comma,0.34225169,0.18759006,100200,477,,,
baseline,WP1,10,9,SINGLE_VARIANCE,lhs,comma,0.38109084,0.09539677,100200,477,,,
baseline,WP1,10,10,SINGLE_VARIANCE,lhs,comma,0.36493101,0.13375569,100200,477,,,
baseline,WP1,10,11,SINGLE_VARIANCE,lhs,comma,0.38582101,0.08416867,100200,477,,,
baseline,WP1,10,12,SINGLE_VARIANCE,lhs,comma,0.37052891,0.12046783,100200,477,,,
baseline,WP1,10,13,SINGLE_VARIANCE,lhs,comma,0.38206742,0.09307864,100200,477,,,
baseline,WP1,10,14,SINGLE_VARIANCE,lhs,comma,0.36186588,0.14103145,100200,477,,,
baseline,WP1,10,15,SINGLE_VARIANCE,lhs,comma,0.18668308,0.5568665,100200,477,,,
baseline,WP1,10,16,SINGLE_VARIANCE,lhs,comma,0.37838561,0.10181822,100200,477,,,
baseline,WP1,10,17,SINGLE_VARIANCE,lhs,comma,0.19374446,0.54010476,100200,477,,,
baseline,WP1,10,18,SINGLE_VARIANCE,lhs,comma,0.36521931,0.13307135,100200,477,,,
