variant,n_circles,seed,evaluations,best_fitness
+clip+f-polish,7,0,240,0.40771129
+clip+f-polish,7,0,450,0.40771129
+clip+f-polish,7,0,660,0.40771129
+clip+f-polish,7,0,870,0.40771129
+clip+f-polish,7,0,1080,0.40771129
+clip+f-polish,7,0,1290,0.40771129
+clip+f-polish,7,0,1500,0.40771129
+clip+f-polish,7,0,1710,0.40771129
+clip+f-polish,7,0,1920,0.40771129
+clip+f-polish,7,0,2130,0.41443041
+clip+f-polish,7,0,2340,0.41602709
+clip+f-polish,7,0,2550,0.44059985
+clip+f-polish,7,0,2760,0.45191974
+clip+f-polish,7,0,2970,0.45191974
+clip+f-polish,7,0,3180,0.45191974
+clip+f-polish,7,0,3390,0.46099940
+clip+f-polish,7,0,3600,0.46478138
+clip+f-polish,7,0,3810,0.47824343
+clip+f-polish,7,0,4020,0.47824343
+clip+f-polish,7,0,4230,0.48097372
+clip+f-polish,7,0,4440,0.49051357
+clip+f-polish,7,0,4650,0.49805409
+clip+f-polish,7,0,4860,0.49805409
+clip+f-polish,7,0,5070,0.50195708
+clip+f-polish,7,0,5280,0.50195708
+clip+f-polish,7,0,5490,0.50195708
+clip+f-polish,7,0,5700,0.50617236
+clip+f-polish,7,0,5910,0.50793848
+clip+f-polish,7,0,6120,0.50793848
+clip+f-polish,7,0,6330,0.51055117
+clip+f-polish,7,0,6540,0.51055117
+clip+f-polish,7,0,6750,0.51098532
+clip+f-polish,7,0,6960,0.51098532
+clip+f-polish,7,0,7170,0.51098532
+clip+f-polish,7,0,7380,0.51098532
+clip+f-polish,7,0,7590,0.51183554
+clip+f-polish,7,0,7800,0.51248488
+clip+f-polish,7,0,8010,0.51253996
+clip+f-polish,7,0,8220,0.51300764
+clip+f-polish,7,0,8430,0.51342244
+clip+f-polish,7,0,8640,0.51343266
+clip+f-polish,7,0,8850,0.51403445
+clip+f-polish,7,0,9060,0.51421479
+clip+f-polish,7,0,9270,0.51421479
+clip+f-polish,7,0,9480,0.51421479
+clip+f-polish,7,0,9690,0.51457896
+clip+f-polish,7,0,9900,0.51457896
+clip+f-polish,7,0,10110,0.51467000
+clip+f-polish,7,0,10320,0.51482692
+clip+f-polish,7,0,10530,0.51512522
+clip+f-polish,7,0,10740,0.51579857
+clip+f-polish,7,0,10950,0.51579857
+clip+f-polish,7,0,11160,0.51579857
+clip+f-polish,7,0,11370,0.51579857
+clip+f-polish,7,0,11580,0.51579857
+clip+f-polish,7,0,11790,0.51622824
+clip+f-polish,7,0,12000,0.51622824
+clip+f-polish,7,0,12210,0.51651692
+clip+f-polish,7,0,12420,0.51651692
+clip+f-polish,7,0,12630,0.51651692
+clip+f-polish,7,0,12840,0.51703885
+clip+f-polish,7,0,13050,0.51707872
+clip+f-polish,7,0,13260,0.51707872
+clip+f-polish,7,0,13470,0.51707872
+clip+f-polish,7,0,13680,0.51707872
+clip+f-polish,7,0,13890,0.51707872
+clip+f-polish,7,0,14100,0.51707872
+clip+f-polish,7,0,14310,0.51707872
+clip+f-polish,7,0,14520,0.51707872
+clip+f-polish,7,0,14730,0.51707872
+clip+f-polish,7,0,14940,0.51707872
